NAME,ID,TRANSITION,GET ON RIDE,DURING RIDE,END RIDE
hannah.firstmet,30001,na,hannah_firstmet_geton,hannah_firstmet_ride,hannah_firstmet_end
hannah.neutral,30002,hannah_neutral_trans,"hannah_hi_one, hannah_hi_two, hannah_hi_three","hannah_yap_one, hannah_yap_two, hannah_yap_three","hannah_bye_one, hannah_bye_two, hannah_bye_three"
jimmy.firstmet,30003,na,jimmy_firstmet_geton,jimmy_firstmet_ride,jimmy_firstmet_end
jimmy. distrust,30004,jimmy_distrust_trans,jimmy_sus_geton,jimmy_sus_ride,jimmy_sus_end
jimmy. trust,30005,jimmy_trust_trans,jimmy_trust_geton,jimmy_trust_ride,jimmy_trust_end
,30006,,,,
,30007,,,,
,30008,,,,
,30009,,,,
,30010,,,,
,30011,,,,
,30012,,,,
,30013,,,,
,30014,,,,
,30015,,,,
,30016,,,,
,30017,,,,
,30018,,,,
,30019,,,,
,30020,,,,
,30021,,,,
,30022,,,,
,30023,,,,
,30024,,,,
,30025,,,,
,30026,,,,
